"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,490,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","LaPampa_baja","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","LaPampa_media","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,28.5,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","Mendoza_alta_barrancas","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","Mendoza_alta_riogrande","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","Mendoza_media","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","Neuquen_alta_barrancas","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","Neuquen_media","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0.2,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","RioNegro_baja","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,36.42475,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
"Policy","Argentina","RioNegro_media","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0.6,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_cereals_supply"
