"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","LaPampa_baja","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0.5,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","LaPampa_media","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,5.2,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","Mendoza_alta_barrancas","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","Mendoza_alta_riogrande","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","Mendoza_media","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","Neuquen_alta_barrancas","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","Neuquen_media","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","RioNegro_baja","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
"Reference","Argentina","RioNegro_media","localData","Ag_specialty_supply","land (km^2)","Ag_specialty_supply",2010,0.62,"localBasin",NA,NA,"pal_ColoradoLandAlloc","Ag_specialty_supply"
