"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,95.92361,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","LaPampa_baja","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,10.525389,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","LaPampa_media","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,157.78705,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","Mendoza_alta_barrancas","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,0,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","Mendoza_alta_riogrande","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,65.37818501,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","Mendoza_media","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,0,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","Neuquen_alta_barrancas","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,12.938217,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","Neuquen_media","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,700.508592,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","RioNegro_baja","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,106.327429,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
"Reference","Argentina","RioNegro_media","localData","ElecDemand_Total","GWh","ElecDemand_Total",2010,1042.7151172,"localBasin",NA,NA,"pal_ColoradoTotalElecDemand","ElecDemand_Total"
