"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,20.123545,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","LaPampa_baja","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,1.587401,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","LaPampa_media","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,3.19665,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","Mendoza_alta_barrancas","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","Mendoza_alta_riogrande","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,6.808592,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","Mendoza_media","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","Neuquen_alta_barrancas","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","Neuquen_media","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","RioNegro_baja","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,20.835906,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
"Policy","Argentina","RioNegro_media","localData","ElecDemand_commercial","GWh","ElecDemand_commercial",2010,137.85332975,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_commercial"
