"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,8.886225,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","LaPampa_baja","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,0.118812,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","LaPampa_media","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,6.567185,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","Mendoza_alta_barrancas","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","Mendoza_alta_riogrande","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,23.004598004,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","Mendoza_media","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","Neuquen_alta_barrancas","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","Neuquen_media","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,533.7402,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","RioNegro_baja","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,24.013419,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
"Policy","Argentina","RioNegro_media","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,500.39769527,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_industrial"
