"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","ElecDemand_other","GWh","ElecDemand_other",2010,25.390125,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","LaPampa_baja","localData","ElecDemand_other","GWh","ElecDemand_other",2010,4.754263,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","LaPampa_media","localData","ElecDemand_other","GWh","ElecDemand_other",2010,4.568789,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","Mendoza_alta_barrancas","localData","ElecDemand_other","GWh","ElecDemand_other",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","Mendoza_alta_riogrande","localData","ElecDemand_other","GWh","ElecDemand_other",2010,11.736356004,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","Mendoza_media","localData","ElecDemand_other","GWh","ElecDemand_other",2010,0,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","Neuquen_alta_barrancas","localData","ElecDemand_other","GWh","ElecDemand_other",2010,5.477967,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","Neuquen_media","localData","ElecDemand_other","GWh","ElecDemand_other",2010,105.082112,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","RioNegro_baja","localData","ElecDemand_other","GWh","ElecDemand_other",2010,24.52153,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
"Policy","Argentina","RioNegro_media","localData","ElecDemand_other","GWh","ElecDemand_other",2010,133.63556583,"localBasin",NA,NA,"pal_ColoradoElecDemand","ElecDemand_other"
