"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","electricity_water_demand","km3","Electricity",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","LaPampa_baja","localData","electricity_water_demand","km3","Electricity",2010,1.49e-07,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","LaPampa_media","localData","electricity_water_demand","km3","Electricity",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","Mendoza_alta_barrancas","localData","electricity_water_demand","km3","Electricity",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","Mendoza_alta_riogrande","localData","electricity_water_demand","km3","Electricity",2010,3.14e-07,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","Mendoza_media","localData","electricity_water_demand","km3","Electricity",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","Neuquen_alta_barrancas","localData","electricity_water_demand","km3","Electricity",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","Neuquen_media","localData","electricity_water_demand","km3","Electricity",2010,0.0001061,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","RioNegro_baja","localData","electricity_water_demand","km3","Electricity",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
"Reference","Argentina","RioNegro_media","localData","electricity_water_demand","km3","Electricity",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","ElectricityWatDemand"
