"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","livestock_water_demand","km3","Livestock",2010,0.005064527,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","LaPampa_baja","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","LaPampa_media","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","Mendoza_alta_barrancas","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","Mendoza_alta_riogrande","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","Mendoza_media","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","Neuquen_alta_barrancas","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","Neuquen_media","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","RioNegro_baja","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
"Policy","Argentina","RioNegro_media","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_ColoradoWater","LivestockWatDemand"
