"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","total_ag_supply","land (km^2)","AgSupply",2010,1400,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","LaPampa_baja","localData","total_ag_supply","land (km^2)","AgSupply",2010,430.35888,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","LaPampa_media","localData","total_ag_supply","land (km^2)","AgSupply",2010,78,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","Mendoza_alta_barrancas","localData","total_ag_supply","land (km^2)","AgSupply",2010,0.02,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","Mendoza_alta_riogrande","localData","total_ag_supply","land (km^2)","AgSupply",2010,0,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","Mendoza_media","localData","total_ag_supply","land (km^2)","AgSupply",2010,0,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","Neuquen_alta_barrancas","localData","total_ag_supply","land (km^2)","AgSupply",2010,0.68,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","Neuquen_media","localData","total_ag_supply","land (km^2)","AgSupply",2010,6.5,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","RioNegro_baja","localData","total_ag_supply","land (km^2)","AgSupply",2010,102.393,"localBasin",NA,NA,"Greens","AgSupply"
"Policy","Argentina","RioNegro_media","localData","total_ag_supply","land (km^2)","AgSupply",2010,25.6,"localBasin",NA,NA,"Greens","AgSupply"
