"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","total_ag_supply","land (km^2)","AgSupply",2010,1400,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","LaPampa_baja","localData","total_ag_supply","land (km^2)","AgSupply",2010,3.36,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","LaPampa_media","localData","total_ag_supply","land (km^2)","AgSupply",2010,78,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","Mendoza_alta_barrancas","localData","total_ag_supply","land (km^2)","AgSupply",2010,0.02,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","Mendoza_alta_riogrande","localData","total_ag_supply","land (km^2)","AgSupply",2010,0,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","Mendoza_media","localData","total_ag_supply","land (km^2)","AgSupply",2010,0,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","Neuquen_alta_barrancas","localData","total_ag_supply","land (km^2)","AgSupply",2010,0.68,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","Neuquen_media","localData","total_ag_supply","land (km^2)","AgSupply",2010,6.5,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","RioNegro_baja","localData","total_ag_supply","land (km^2)","AgSupply",2010,55.8,"localBasin",NA,NA,"Greens","AgSupply"
"Reference","Argentina","RioNegro_media","localData","total_ag_supply","land (km^2)","AgSupply",2010,25.6,"localBasin",NA,NA,"Greens","AgSupply"
