sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Runoff,Water,Policy,0,Argentina,Colorado,km3,param,3.294238745
Ag,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,3.294238745
cap,Ag_cereals,Agriculture,Policy,0,Argentina,Colorado,km2,param,555.72475
cap,Ag_forest,Agriculture,Policy,0,Argentina,Colorado,km2,param,0.78
cap,Ag_fruittrees,Agriculture,Policy,0,Argentina,Colorado,km2,param,67.3615
cap,Ag_pasture,Agriculture,Policy,0,Argentina,Colorado,km2,param,1110.41162
cap,Ag_specialty,Agriculture,Policy,0,Argentina,Colorado,km2,param,69.8615
cap,Ag_vegetables,Agriculture,Policy,0,Argentina,Colorado,km2,param,239.41251
cap,Agriculture_all,Agriculture,Policy,0,Argentina,Colorado,km2,param,2043.55188
cap,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,2053.66946221
cap,Electricity_Gas,Electricity,Policy,0,Argentina,Colorado,GWh,param,476.34584256
cap,Electricity_Hydro,Electricity,Policy,0,Argentina,Colorado,GWh,param,315.57505
cap,Electricity_Import,Electricity,Policy,0,Argentina,Colorado,GWh,param,1034.528239411
cap,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Colorado,GWh,param,227.220330239
cap,Livestock_all,Livestock,Policy,0,Argentina,Colorado,head,param,262979
cap,Livestock_bulls,Livestock,Policy,0,Argentina,Colorado,head,param,5408
cap,Livestock_calves,Livestock,Policy,0,Argentina,Colorado,head,param,45924
cap,Livestock_cows,Livestock,Policy,0,Argentina,Colorado,head,param,127040
cap,Livestock_heifers,Livestock,Policy,0,Argentina,Colorado,head,param,37136
cap,Livestock_steers,Livestock,Policy,0,Argentina,Colorado,head,param,47471
cap,W_SW_Runoff,Water,Policy,0,Argentina,Colorado,km3,param,21.27607155
cap,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,21.27607155
capNew,Ag_cereals,Agriculture,Policy,0,Argentina,Colorado,km2,param,555.72475
capNew,Ag_forest,Agriculture,Policy,0,Argentina,Colorado,km2,param,0.78
capNew,Ag_fruittrees,Agriculture,Policy,0,Argentina,Colorado,km2,param,67.3615
capNew,Ag_pasture,Agriculture,Policy,0,Argentina,Colorado,km2,param,1110.41162
capNew,Ag_specialty,Agriculture,Policy,0,Argentina,Colorado,km2,param,69.8615
capNew,Ag_vegetables,Agriculture,Policy,0,Argentina,Colorado,km2,param,239.41251
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,Colorado,km2,param,2043.55188
capNew,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,1893.34346221
capNew,Electricity_Gas,Electricity,Policy,0,Argentina,Colorado,GWh,param,408.84584256
