sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,3.294238745
cap,Agriculture_all,Agriculture,Policy,0,Argentina,Colorado,km2,param,2043.55188
cap,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,2053.66946221
cap,Livestock_all,Livestock,Policy,0,Argentina,Colorado,head,param,262979
cap,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,21.27607155
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,Colorado,km2,param,2043.55188
capNew,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,1893.34346221
capNew,Livestock_all,Livestock,Policy,0,Argentina,Colorado,head,param,262979
capOrig,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,160.326
capOrig,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,21.27607155
commercial,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,190.40542375
downstream,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,1.291570165
Electricity,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,0.000106563
export,Agriculture_all,Agriculture,Policy,0,Argentina,Colorado,km2,param,2043.55188
export,Livestock_all,Livestock,Policy,0,Argentina,Colorado,head,param,262979
export,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,0.0021
industrial,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,1096.728134274
Livestock,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,0.005064527
municipal,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,0.01432
other,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,315.166707834
residential,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,451.369196352
surplus,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,16.66867155
total,Agriculture_all,Agriculture,Policy,0,Argentina,Colorado,km2,param,2043.55188
total,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,2053.66946221
total,Livestock_all,Livestock,Policy,0,Argentina,Colorado,head,param,262979
total,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,4.6074
