sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,3.294238745,0.714988658462473,Water_all 4.6 km3,Water_all km3
commercial,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,190.40542375,0.0927147368423643,Electricity_all 2053.7 GWh,Electricity_all GWh
downstream,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,1.291570165,0.280325164952034,Water_all 4.6 km3,Water_all km3
Electricity,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,0.000106563,2.31286625862743e-05,Water_all 4.6 km3,Water_all km3
export,Agriculture_all,Agriculture,Policy,0,Argentina,Colorado,km2,param,2043.55188,1,Agriculture_all 2043.6 km2,Agriculture_all km2
export,Livestock_all,Livestock,Policy,0,Argentina,Colorado,head,param,262979,1,Livestock_all 262979 head,Livestock_all head
export,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,0.0021,0.000455788514129444,Water_all 4.6 km3,Water_all km3
industrial,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,1096.728134274,0.534033423808029,Electricity_all 2053.7 GWh,Electricity_all GWh
Livestock,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,0.005064527,0.00109921582671355,Water_all 4.6 km3,Water_all km3
municipal,Water_all,Water,Policy,0,Argentina,Colorado,km3,param,0.01432,0.00310804358206364,Water_all 4.6 km3,Water_all km3
other,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,315.166707834,0.153465157676758,Electricity_all 2053.7 GWh,Electricity_all GWh
residential,Electricity_all,Electricity,Policy,0,Argentina,Colorado,GWh,param,451.369196352,0.219786681672849,Electricity_all 2053.7 GWh,Electricity_all GWh
