sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,W_SW_Runoff,Water,Policy,0,Argentina,Colorado,km3,param,3.294238745,0.714988658462473,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
commercial,Electricity_Gas,Electricity,Policy,0,Argentina,Colorado,GWh,param,0.405699721978311,0.000197548694881857,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
commercial,Electricity_Hydro,Electricity,Policy,0,Argentina,Colorado,GWh,param,43.0501604772363,0.0209625556933145,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
commercial,Electricity_Import,Electricity,Policy,0,Argentina,Colorado,GWh,param,146.39439965656,0.0712843046801806,Electricity_Import 1034.5 GWh,Electricity_Import GWh
commercial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Colorado,GWh,param,0.555163894225087,0.000270327773987379,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
downstream,W_SW_Runoff,Water,Policy,0,Argentina,Colorado,km3,param,1.291570165,0.280325164952034,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
Electricity,W_SW_Runoff,Water,Policy,0,Argentina,Colorado,km3,param,0.000106563,2.31286625862743e-05,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
export,Ag_cereals,Agriculture,Policy,0,Argentina,Colorado,km2,param,555.72475,0.271940612537813,Ag_cereals 555.7 km2,Ag_cereals km2
export,Ag_forest,Agriculture,Policy,0,Argentina,Colorado,km2,param,0.78,0.000381688376807933,Ag_forest 0.78 km2,Ag_forest km2
export,Ag_fruittrees,Agriculture,Policy,0,Argentina,Colorado,km2,param,67.3615,0.0329629507619841,Ag_fruittrees 67.4 km2,Ag_fruittrees km2
export,Ag_pasture,Agriculture,Policy,0,Argentina,Colorado,km2,param,1110.41162,0.543373344649317,Ag_pasture 1110.4 km2,Ag_pasture km2
export,Ag_specialty,Agriculture,Policy,0,Argentina,Colorado,km2,param,69.8615,0.0341863109440608,Ag_specialty 69.9 km2,Ag_specialty km2
export,Ag_vegetables,Agriculture,Policy,0,Argentina,Colorado,km2,param,239.41251,0.117155092730017,Ag_vegetables 239.4 km2,Ag_vegetables km2
export,Livestock_bulls,Livestock,Policy,0,Argentina,Colorado,head,param,5408,0.0205643796652965,Livestock_bulls 5408 head,Livestock_bulls head
export,Livestock_calves,Livestock,Policy,0,Argentina,Colorado,head,param,45924,0.17462991341514,Livestock_calves 45924 head,Livestock_calves head
export,Livestock_cows,Livestock,Policy,0,Argentina,Colorado,head,param,127040,0.483080398054598,Livestock_cows 127040 head,Livestock_cows head
export,Livestock_heifers,Livestock,Policy,0,Argentina,Colorado,head,param,37136,0.141212796459033,Livestock_heifers 37136 head,Livestock_heifers head
export,Livestock_steers,Livestock,Policy,0,Argentina,Colorado,head,param,47471,0.180512512405934,Livestock_steers 47471 head,Livestock_steers head
export,W_SW_Runoff,Water,Policy,0,Argentina,Colorado,km3,param,0.0021,0.000455788514129444,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
industrial,Electricity_Gas,Electricity,Policy,0,Argentina,Colorado,GWh,param,364.116451689119,0.177300416834014,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
industrial,Electricity_Hydro,Electricity,Policy,0,Argentina,Colorado,GWh,param,137.20925890556,0.0668117539995488,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
industrial,Electricity_Import,Electricity,Policy,0,Argentina,Colorado,GWh,param,423.312015593382,0.206124706717821,Electricity_Import 1034.5 GWh,Electricity_Import GWh
industrial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Colorado,GWh,param,172.090408085939,0.0837965462566445,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
Livestock,W_SW_Runoff,Water,Policy,0,Argentina,Colorado,km3,param,0.005064527,0.00109921582671355,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
municipal,W_SW_Runoff,Water,Policy,0,Argentina,Colorado,km3,param,0.01432,0.00310804358206364,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
other,Electricity_Gas,Electricity,Policy,0,Argentina,Colorado,GWh,param,71.9067376936941,0.0350137833847486,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
other,Electricity_Hydro,Electricity,Policy,0,Argentina,Colorado,GWh,param,45.9001879638837,0.0223503289153891,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
other,Electricity_Import,Electricity,Policy,0,Argentina,Colorado,GWh,param,162.70521213939,0.0792265820441713,Electricity_Import 1034.5 GWh,Electricity_Import GWh
other,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Colorado,GWh,param,34.6545700370325,0.0168744633324488,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
residential,Electricity_Gas,Electricity,Policy,0,Argentina,Colorado,GWh,param,39.9169534552083,0.0194368929322505,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
residential,Electricity_Hydro,Electricity,Policy,0,Argentina,Colorado,GWh,param,89.4154426533198,0.0435393544573126,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
residential,Electricity_Import,Electricity,Policy,0,Argentina,Colorado,GWh,param,302.116612021668,0.147110631764741,Electricity_Import 1034.5 GWh,Electricity_Import GWh
residential,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Colorado,GWh,param,19.9201882218039,0.00969980251854518,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
