sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_cereals,Agriculture,Reference,0,km2,Argentina,Colorado,param,export,539.15,export
Ag_cereals,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,539.15,total
Ag_cereals,Agriculture,Reference,0,km2,Argentina,Colorado,param,cap,539.15,cap
Ag_cereals,Agriculture,Reference,0,km2,Argentina,Colorado,param,capNew,539.15,capNew
Ag_forest,Agriculture,Reference,0,km2,Argentina,Colorado,param,export,0.78,export
Ag_forest,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,0.78,total
Ag_forest,Agriculture,Reference,0,km2,Argentina,Colorado,param,cap,0.78,cap
Ag_forest,Agriculture,Reference,0,km2,Argentina,Colorado,param,capNew,0.78,capNew
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Colorado,param,export,51.58,export
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,51.58,total
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Colorado,param,cap,51.58,cap
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Colorado,param,capNew,51.58,capNew
Ag_pasture,Agriculture,Reference,0,km2,Argentina,Colorado,param,export,797.54,export
Ag_pasture,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,797.54,total
Ag_pasture,Agriculture,Reference,0,km2,Argentina,Colorado,param,cap,797.54,cap
Ag_pasture,Agriculture,Reference,0,km2,Argentina,Colorado,param,capNew,797.54,capNew
Ag_specialty,Agriculture,Reference,0,km2,Argentina,Colorado,param,export,6.32,export
Ag_specialty,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,6.32,total
Ag_specialty,Agriculture,Reference,0,km2,Argentina,Colorado,param,cap,6.32,cap
Ag_specialty,Agriculture,Reference,0,km2,Argentina,Colorado,param,capNew,6.32,capNew
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,Colorado,param,export,174.59,export
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,174.59,total
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,Colorado,param,cap,174.59,cap
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,Colorado,param,capNew,174.59,capNew
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Colorado,param,export,1569.96,export
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,1569.96,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Colorado,param,cap,1569.96,cap
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Colorado,param,capNew,1569.96,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,Colorado,param,commercial,190.40542375,commercial
Electricity_all,Electricity,Reference,0,GWh,Argentina,Colorado,param,industrial,1096.728134274,industrial
Electricity_all,Electricity,Reference,0,GWh,Argentina,Colorado,param,other,315.166707834,other
Electricity_all,Electricity,Reference,0,GWh,Argentina,Colorado,param,residential,451.369196352,residential
Electricity_all,Electricity,Reference,0,GWh,Argentina,Colorado,param,total,2053.66946221,total
Electricity_all,Electricity,Reference,0,GWh,Argentina,Colorado,param,cap,2053.66946221,cap
Electricity_all,Electricity,Reference,0,GWh,Argentina,Colorado,param,capNew,1893.34346221,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,Colorado,param,capOrig,160.326,capOrig
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,commercial,0.405699721978311,commercial
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,industrial,364.116451689119,industrial
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,other,71.9067376936941,other
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,residential,39.9169534552083,residential
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,total,476.34584256,total
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,cap,476.34584256,cap
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,capNew,408.84584256,capNew
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,capOrig,67.5,capOrig
Electricity_Hydro,Electricity,Reference,0,GWh,Argentina,Colorado,param,commercial,43.0501604772363,commercial
