sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,2.428494998
cap,Agriculture_all,Agriculture,Reference,0,Argentina,Colorado,km2,param,1569.96
cap,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,2053.66946221
cap,Livestock_all,Livestock,Reference,0,Argentina,Colorado,head,param,262979
cap,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,22.141815296
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,Colorado,km2,param,1569.96
capNew,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,1893.34346221
capNew,Livestock_all,Livestock,Reference,0,Argentina,Colorado,head,param,262979
capOrig,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,160.326
capOrig,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,22.141815296
commercial,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,190.40542375
downstream,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,2.157313942
Electricity,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,0.000106563
export,Agriculture_all,Agriculture,Reference,0,Argentina,Colorado,km2,param,1569.96
export,Livestock_all,Livestock,Reference,0,Argentina,Colorado,head,param,262979
export,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,0.0021
industrial,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,1096.728134274
Livestock,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,0.005064497
municipal,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,0.01432
other,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,315.166707834
residential,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,451.369196352
surplus,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,17.534415296
total,Agriculture_all,Agriculture,Reference,0,Argentina,Colorado,km2,param,1569.96
total,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,2053.66946221
total,Livestock_all,Livestock,Reference,0,Argentina,Colorado,head,param,262979
total,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,4.6074
