sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,normValue,fromLabel,legendLabel
Ag_cereals,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,539.15,0.343416392774338,Ag_cereals 539.1 km2,Ag_cereals km2
Ag_forest,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,0.78,0.00049682794466101,Ag_forest 0.78 km2,Ag_forest km2
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,51.58,0.0328543402379678,Ag_fruittrees 51.6 km2,Ag_fruittrees km2
Ag_pasture,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,797.54,0.508000203826849,Ag_pasture 797.5 km2,Ag_pasture km2
Ag_specialty,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,6.32,0.00402558026956101,Ag_specialty 6.3 km2,Ag_specialty km2
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,Colorado,param,total,174.59,0.111206654946623,Ag_vegetables 174.6 km2,Ag_vegetables km2
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Colorado,param,total,476.34584256,0.231948641845895,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
Electricity_Hydro,Electricity,Reference,0,GWh,Argentina,Colorado,param,total,315.57505,0.153663993065565,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
Electricity_Import,Electricity,Reference,0,GWh,Argentina,Colorado,param,total,1034.528239411,0.503746225206914,Electricity_Import 1034.5 GWh,Electricity_Import GWh
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Colorado,param,total,227.220330239,0.110641139881626,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
Livestock_bulls,Livestock,Reference,0,head,Argentina,Colorado,param,total,5408,0.0205643796652965,Livestock_bulls 5408 head,Livestock_bulls head
Livestock_calves,Livestock,Reference,0,head,Argentina,Colorado,param,total,45924,0.17462991341514,Livestock_calves 45924 head,Livestock_calves head
Livestock_cows,Livestock,Reference,0,head,Argentina,Colorado,param,total,127040,0.483080398054598,Livestock_cows 127040 head,Livestock_cows head
Livestock_heifers,Livestock,Reference,0,head,Argentina,Colorado,param,total,37136,0.141212796459033,Livestock_heifers 37136 head,Livestock_heifers head
Livestock_steers,Livestock,Reference,0,head,Argentina,Colorado,param,total,47471,0.180512512405934,Livestock_steers 47471 head,Livestock_steers head
W_SW_Runoff,Water,Reference,0,km3,Argentina,Colorado,param,total,4.6074,1,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
