sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,2.428494998,0.527085774623432,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
commercial,Electricity_Gas,Electricity,Reference,0,Argentina,Colorado,GWh,param,0.405699721978311,0.000197548694881857,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
commercial,Electricity_Hydro,Electricity,Reference,0,Argentina,Colorado,GWh,param,43.0501604772363,0.0209625556933145,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
commercial,Electricity_Import,Electricity,Reference,0,Argentina,Colorado,GWh,param,146.39439965656,0.0712843046801806,Electricity_Import 1034.5 GWh,Electricity_Import GWh
commercial,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Colorado,GWh,param,0.555163894225087,0.000270327773987379,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
downstream,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,2.157313942,0.46822805530234,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
Electricity,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,0.000106563,2.31286625862743e-05,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
export,Ag_cereals,Agriculture,Reference,0,Argentina,Colorado,km2,param,539.15,0.343416392774338,Ag_cereals 539.1 km2,Ag_cereals km2
export,Ag_forest,Agriculture,Reference,0,Argentina,Colorado,km2,param,0.78,0.00049682794466101,Ag_forest 0.78 km2,Ag_forest km2
export,Ag_fruittrees,Agriculture,Reference,0,Argentina,Colorado,km2,param,51.58,0.0328543402379678,Ag_fruittrees 51.6 km2,Ag_fruittrees km2
export,Ag_pasture,Agriculture,Reference,0,Argentina,Colorado,km2,param,797.54,0.508000203826849,Ag_pasture 797.5 km2,Ag_pasture km2
export,Ag_specialty,Agriculture,Reference,0,Argentina,Colorado,km2,param,6.32,0.00402558026956101,Ag_specialty 6.3 km2,Ag_specialty km2
export,Ag_vegetables,Agriculture,Reference,0,Argentina,Colorado,km2,param,174.59,0.111206654946623,Ag_vegetables 174.6 km2,Ag_vegetables km2
export,Livestock_bulls,Livestock,Reference,0,Argentina,Colorado,head,param,5408,0.0205643796652965,Livestock_bulls 5408 head,Livestock_bulls head
export,Livestock_calves,Livestock,Reference,0,Argentina,Colorado,head,param,45924,0.17462991341514,Livestock_calves 45924 head,Livestock_calves head
export,Livestock_cows,Livestock,Reference,0,Argentina,Colorado,head,param,127040,0.483080398054598,Livestock_cows 127040 head,Livestock_cows head
export,Livestock_heifers,Livestock,Reference,0,Argentina,Colorado,head,param,37136,0.141212796459033,Livestock_heifers 37136 head,Livestock_heifers head
export,Livestock_steers,Livestock,Reference,0,Argentina,Colorado,head,param,47471,0.180512512405934,Livestock_steers 47471 head,Livestock_steers head
export,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,0.0021,0.000455788514129444,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
industrial,Electricity_Gas,Electricity,Reference,0,Argentina,Colorado,GWh,param,364.116451689119,0.177300416834014,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
industrial,Electricity_Hydro,Electricity,Reference,0,Argentina,Colorado,GWh,param,137.20925890556,0.0668117539995488,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
industrial,Electricity_Import,Electricity,Reference,0,Argentina,Colorado,GWh,param,423.312015593382,0.206124706717821,Electricity_Import 1034.5 GWh,Electricity_Import GWh
industrial,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Colorado,GWh,param,172.090408085939,0.0837965462566445,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
Livestock,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,0.005064497,0.00109920931544906,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
municipal,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,0.01432,0.00310804358206364,W_SW_Runoff 4.6 km3,W_SW_Runoff km3
other,Electricity_Gas,Electricity,Reference,0,Argentina,Colorado,GWh,param,71.9067376936941,0.0350137833847486,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
other,Electricity_Hydro,Electricity,Reference,0,Argentina,Colorado,GWh,param,45.9001879638837,0.0223503289153891,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
other,Electricity_Import,Electricity,Reference,0,Argentina,Colorado,GWh,param,162.70521213939,0.0792265820441713,Electricity_Import 1034.5 GWh,Electricity_Import GWh
other,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Colorado,GWh,param,34.6545700370325,0.0168744633324488,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
residential,Electricity_Gas,Electricity,Reference,0,Argentina,Colorado,GWh,param,39.9169534552083,0.0194368929322505,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
residential,Electricity_Hydro,Electricity,Reference,0,Argentina,Colorado,GWh,param,89.4154426533198,0.0435393544573126,Electricity_Hydro 315.6 GWh,Electricity_Hydro GWh
residential,Electricity_Import,Electricity,Reference,0,Argentina,Colorado,GWh,param,302.116612021668,0.147110631764741,Electricity_Import 1034.5 GWh,Electricity_Import GWh
residential,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Colorado,GWh,param,19.9201882218039,0.00969980251854518,Electricity_RefLiqDiesel 227.2 GWh,Electricity_RefLiqDiesel GWh
