scenario,subRegion,param,class,x,units,value
Policy,Corfo,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),490
Policy,LaPampa_baja,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),0
Policy,LaPampa_media,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),28.5
Policy,Mendoza_alta_barrancas,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),0
Policy,Mendoza_alta_riogrande,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),0
Policy,Mendoza_media,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),0
Policy,Neuquen_alta_barrancas,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),0
Policy,Neuquen_media,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),0.2
Policy,RioNegro_baja,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),36.42475
Policy,RioNegro_media,Ag_cereals_supply,Ag_cereals_supply,2010,land (km^2),0.6
