scenario,subRegion,param,class,x,units,value
Policy,Corfo,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Policy,LaPampa_baja,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Policy,LaPampa_media,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),31.1
Policy,Mendoza_alta_barrancas,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0.02
Policy,Mendoza_alta_riogrande,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Policy,Mendoza_media,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Policy,Neuquen_alta_barrancas,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Policy,Neuquen_media,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0.06
Policy,RioNegro_baja,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),34.6815
Policy,RioNegro_media,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),1.5
