scenario,subRegion,param,class,x,units,value
Reference,Corfo,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Reference,LaPampa_baja,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Reference,LaPampa_media,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),31.1
Reference,Mendoza_alta_barrancas,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0.02
Reference,Mendoza_alta_riogrande,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Reference,Mendoza_media,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Reference,Neuquen_alta_barrancas,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0
Reference,Neuquen_media,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),0.06
Reference,RioNegro_baja,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),18.9
Reference,RioNegro_media,Ag_fruittrees_supply,Ag_fruittrees_supply,2010,land (km^2),1.5
