scenario,subRegion,param,class,x,units,value
Policy,Corfo,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Policy,LaPampa_baja,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),64.0415
Policy,LaPampa_media,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),5.2
Policy,Mendoza_alta_barrancas,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Policy,Mendoza_alta_riogrande,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Policy,Mendoza_media,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Policy,Neuquen_alta_barrancas,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Policy,Neuquen_media,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Policy,RioNegro_baja,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Policy,RioNegro_media,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0.62
