scenario,subRegion,param,class,x,units,value
Reference,Corfo,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Reference,LaPampa_baja,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0.5
Reference,LaPampa_media,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),5.2
Reference,Mendoza_alta_barrancas,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Reference,Mendoza_alta_riogrande,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Reference,Mendoza_media,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Reference,Neuquen_alta_barrancas,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Reference,Neuquen_media,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Reference,RioNegro_baja,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0
Reference,RioNegro_media,Ag_specialty_supply,Ag_specialty_supply,2010,land (km^2),0.62
