scenario,subRegion,param,class,x,units,value
Policy,Corfo,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),168
Policy,LaPampa_baja,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),60.19901
Policy,LaPampa_media,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Policy,Mendoza_alta_barrancas,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Policy,Mendoza_alta_riogrande,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Policy,Mendoza_media,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Policy,Neuquen_alta_barrancas,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Policy,Neuquen_media,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0.02
Policy,RioNegro_baja,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),11.1935
Policy,RioNegro_media,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
