scenario,subRegion,param,class,x,units,value
Reference,Corfo,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),168
Reference,LaPampa_baja,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0.47
Reference,LaPampa_media,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Reference,Mendoza_alta_barrancas,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Reference,Mendoza_alta_riogrande,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Reference,Mendoza_media,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Reference,Neuquen_alta_barrancas,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
Reference,Neuquen_media,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0.02
Reference,RioNegro_baja,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),6.1
Reference,RioNegro_media,Ag_vegetables_supply,Ag_vegetables_supply,2010,land (km^2),0
