scenario,subRegion,param,class,x,units,value
Reference,Corfo,ElecDemand_Total,ElecDemand_Total,2010,GWh,95.92361
Reference,LaPampa_baja,ElecDemand_Total,ElecDemand_Total,2010,GWh,10.525389
Reference,LaPampa_media,ElecDemand_Total,ElecDemand_Total,2010,GWh,157.78705
Reference,Mendoza_alta_barrancas,ElecDemand_Total,ElecDemand_Total,2010,GWh,0
Reference,Mendoza_alta_riogrande,ElecDemand_Total,ElecDemand_Total,2010,GWh,65.37818501
Reference,Mendoza_media,ElecDemand_Total,ElecDemand_Total,2010,GWh,0
Reference,Neuquen_alta_barrancas,ElecDemand_Total,ElecDemand_Total,2010,GWh,12.938217
Reference,Neuquen_media,ElecDemand_Total,ElecDemand_Total,2010,GWh,700.508592
Reference,RioNegro_baja,ElecDemand_Total,ElecDemand_Total,2010,GWh,106.327429
Reference,RioNegro_media,ElecDemand_Total,ElecDemand_Total,2010,GWh,1042.715117
