scenario,subRegion,param,class,x,units,value
Policy,Corfo,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,20.123545
Policy,LaPampa_baja,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,1.587401
Policy,LaPampa_media,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,3.19665
Policy,Mendoza_alta_barrancas,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,0
Policy,Mendoza_alta_riogrande,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,6.808592
Policy,Mendoza_media,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,0
Policy,Neuquen_alta_barrancas,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,0
Policy,Neuquen_media,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,0
Policy,RioNegro_baja,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,20.835906
Policy,RioNegro_media,ElecDemand_commercial,ElecDemand_commercial,2010,GWh,137.8533298
