scenario,subRegion,param,class,x,units,value
Reference,Corfo,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,8.886225
Reference,LaPampa_baja,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,0.118812
Reference,LaPampa_media,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,6.567185
Reference,Mendoza_alta_barrancas,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,0
Reference,Mendoza_alta_riogrande,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,23.004598
Reference,Mendoza_media,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,0
Reference,Neuquen_alta_barrancas,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,0
Reference,Neuquen_media,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,533.7402
Reference,RioNegro_baja,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,24.013419
Reference,RioNegro_media,ElecDemand_industrial,ElecDemand_industrial,2010,GWh,500.3976953
