scenario,subRegion,param,class,x,units,value
Reference,Corfo,ElecDemand_other,ElecDemand_other,2010,GWh,25.390125
Reference,LaPampa_baja,ElecDemand_other,ElecDemand_other,2010,GWh,4.754263
Reference,LaPampa_media,ElecDemand_other,ElecDemand_other,2010,GWh,4.568789
Reference,Mendoza_alta_barrancas,ElecDemand_other,ElecDemand_other,2010,GWh,0
Reference,Mendoza_alta_riogrande,ElecDemand_other,ElecDemand_other,2010,GWh,11.736356
Reference,Mendoza_media,ElecDemand_other,ElecDemand_other,2010,GWh,0
Reference,Neuquen_alta_barrancas,ElecDemand_other,ElecDemand_other,2010,GWh,5.477967
Reference,Neuquen_media,ElecDemand_other,ElecDemand_other,2010,GWh,105.082112
Reference,RioNegro_baja,ElecDemand_other,ElecDemand_other,2010,GWh,24.52153
Reference,RioNegro_media,ElecDemand_other,ElecDemand_other,2010,GWh,133.6355658
