scenario,subRegion,param,class,x,units,value
Reference,Corfo,ElecDemand_residential,ElecDemand_residential,2010,GWh,41.523715
Reference,LaPampa_baja,ElecDemand_residential,ElecDemand_residential,2010,GWh,4.064913
Reference,LaPampa_media,ElecDemand_residential,ElecDemand_residential,2010,GWh,9.236426
Reference,Mendoza_alta_barrancas,ElecDemand_residential,ElecDemand_residential,2010,GWh,0
Reference,Mendoza_alta_riogrande,ElecDemand_residential,ElecDemand_residential,2010,GWh,23.828639
Reference,Mendoza_media,ElecDemand_residential,ElecDemand_residential,2010,GWh,0
Reference,Neuquen_alta_barrancas,ElecDemand_residential,ElecDemand_residential,2010,GWh,7.46025
Reference,Neuquen_media,ElecDemand_residential,ElecDemand_residential,2010,GWh,57.470153
Reference,RioNegro_baja,ElecDemand_residential,ElecDemand_residential,2010,GWh,36.956574
Reference,RioNegro_media,ElecDemand_residential,ElecDemand_residential,2010,GWh,270.8285264
