scenario,subRegion,param,class,x,units,value
Policy,Corfo,available_water,AvailableWater,2010,km3,3.199054692
Policy,LaPampa_baja,available_water,AvailableWater,2010,km3,2.172311793
Policy,LaPampa_media,available_water,AvailableWater,2010,km3,2.263776793
Policy,Mendoza_alta_barrancas,available_water,AvailableWater,2010,km3,0.276125
Policy,Mendoza_alta_riogrande,available_water,AvailableWater,2010,km3,3.5029
Policy,Mendoza_media,available_water,AvailableWater,2010,km3,2.298719843
Policy,Neuquen_alta_barrancas,available_water,AvailableWater,2010,km3,0.828375
Policy,Neuquen_media,available_water,AvailableWater,2010,km3,2.298719843
Policy,RioNegro_baja,available_water,AvailableWater,2010,km3,2.172311793
Policy,RioNegro_media,available_water,AvailableWater,2010,km3,2.263776793
