scenario,subRegion,param,class,x,units,value
Policy,Corfo,electricity_water_demand,Electricity,2010,km3,0
Policy,LaPampa_baja,electricity_water_demand,Electricity,2010,km3,1.49e-07
Policy,LaPampa_media,electricity_water_demand,Electricity,2010,km3,0
Policy,Mendoza_alta_barrancas,electricity_water_demand,Electricity,2010,km3,0
Policy,Mendoza_alta_riogrande,electricity_water_demand,Electricity,2010,km3,3.14e-07
Policy,Mendoza_media,electricity_water_demand,Electricity,2010,km3,0
Policy,Neuquen_alta_barrancas,electricity_water_demand,Electricity,2010,km3,0
Policy,Neuquen_media,electricity_water_demand,Electricity,2010,km3,0.0001061
Policy,RioNegro_baja,electricity_water_demand,Electricity,2010,km3,0
Policy,RioNegro_media,electricity_water_demand,Electricity,2010,km3,0
