scenario,subRegion,param,class,x,units,value
Reference,Corfo,electricity_water_demand,Electricity,2010,km3,0
Reference,LaPampa_baja,electricity_water_demand,Electricity,2010,km3,1.49e-07
Reference,LaPampa_media,electricity_water_demand,Electricity,2010,km3,0
Reference,Mendoza_alta_barrancas,electricity_water_demand,Electricity,2010,km3,0
Reference,Mendoza_alta_riogrande,electricity_water_demand,Electricity,2010,km3,3.14e-07
Reference,Mendoza_media,electricity_water_demand,Electricity,2010,km3,0
Reference,Neuquen_alta_barrancas,electricity_water_demand,Electricity,2010,km3,0
Reference,Neuquen_media,electricity_water_demand,Electricity,2010,km3,0.0001061
Reference,RioNegro_baja,electricity_water_demand,Electricity,2010,km3,0
Reference,RioNegro_media,electricity_water_demand,Electricity,2010,km3,0
