scenario,subRegion,param,class,x,units,value
Policy,Corfo,griddedScarcity,scarcity,2010,unitless,0.5962650566
Policy,LaPampa_baja,griddedScarcity,scarcity,2010,unitless,0.2985153748
Policy,LaPampa_media,griddedScarcity,scarcity,2010,unitless,0.1036586296
Policy,Mendoza_alta_barrancas,griddedScarcity,scarcity,2010,unitless,0.003621548212
Policy,Mendoza_alta_riogrande,griddedScarcity,scarcity,2010,unitless,8.964001256e-08
Policy,Mendoza_media,griddedScarcity,scarcity,2010,unitless,0.0005220296869
Policy,Neuquen_alta_barrancas,griddedScarcity,scarcity,2010,unitless,0.01081635733
Policy,Neuquen_media,griddedScarcity,scarcity,2010,unitless,0.02988015273
Policy,RioNegro_baja,griddedScarcity,scarcity,2010,unitless,0.2288347495
Policy,RioNegro_media,griddedScarcity,scarcity,2010,unitless,0.0800741489
