scenario,subRegion,param,class,x,units,value
Policy,Corfo,irrigation_water_demand,Irrigation,2010,km3,1.8999
Policy,LaPampa_baja,irrigation_water_demand,Irrigation,2010,km3,0.64553832
Policy,LaPampa_media,irrigation_water_demand,Irrigation,2010,km3,0.233
Policy,Mendoza_alta_barrancas,irrigation_water_demand,Irrigation,2010,km3,0.001
Policy,Mendoza_alta_riogrande,irrigation_water_demand,Irrigation,2010,km3,0
Policy,Mendoza_media,irrigation_water_demand,Irrigation,2010,km3,0
Policy,Neuquen_alta_barrancas,irrigation_water_demand,Irrigation,2010,km3,0.0087
Policy,Neuquen_media,irrigation_water_demand,Irrigation,2010,km3,0.0656
Policy,RioNegro_baja,irrigation_water_demand,Irrigation,2010,km3,0.495000425
Policy,RioNegro_media,irrigation_water_demand,Irrigation,2010,km3,0.1785
