scenario,subRegion,param,class,x,units,value
Policy,Corfo,municipal_water_demand,Municipal,2010,km3,0.00252
Policy,LaPampa_baja,municipal_water_demand,Municipal,2010,km3,0.00083
Policy,LaPampa_media,municipal_water_demand,Municipal,2010,km3,0.00166
Policy,Mendoza_alta_barrancas,municipal_water_demand,Municipal,2010,km3,0
Policy,Mendoza_alta_riogrande,municipal_water_demand,Municipal,2010,km3,0
Policy,Mendoza_media,municipal_water_demand,Municipal,2010,km3,0.0012
Policy,Neuquen_alta_barrancas,municipal_water_demand,Municipal,2010,km3,0.00026
Policy,Neuquen_media,municipal_water_demand,Municipal,2010,km3,0.00298
Policy,RioNegro_baja,municipal_water_demand,Municipal,2010,km3,0.0021
Policy,RioNegro_media,municipal_water_demand,Municipal,2010,km3,0.00277
