scenario,subRegion,param,class,x,units,value
Policy,Corfo,runoff,runoff,2010,km3,0
Policy,LaPampa_baja,runoff,runoff,2010,km3,0
Policy,LaPampa_media,runoff,runoff,2010,km3,0
Policy,Mendoza_alta_barrancas,runoff,runoff,2010,km3,0.276125
Policy,Mendoza_alta_riogrande,runoff,runoff,2010,km3,3.5029
Policy,Mendoza_media,runoff,runoff,2010,km3,0
Policy,Neuquen_alta_barrancas,runoff,runoff,2010,km3,0.828375
Policy,Neuquen_media,runoff,runoff,2010,km3,0
Policy,RioNegro_baja,runoff,runoff,2010,km3,0
Policy,RioNegro_media,runoff,runoff,2010,km3,0
