scenario,subRegion,param,class,x,units,value
Reference,Corfo,runoff,runoff,2010,km3,0
Reference,LaPampa_baja,runoff,runoff,2010,km3,0
Reference,LaPampa_media,runoff,runoff,2010,km3,0
Reference,Mendoza_alta_barrancas,runoff,runoff,2010,km3,0.276125
Reference,Mendoza_alta_riogrande,runoff,runoff,2010,km3,3.5029
Reference,Mendoza_media,runoff,runoff,2010,km3,0
Reference,Neuquen_alta_barrancas,runoff,runoff,2010,km3,0.828375
Reference,Neuquen_media,runoff,runoff,2010,km3,0
Reference,RioNegro_baja,runoff,runoff,2010,km3,0
Reference,RioNegro_media,runoff,runoff,2010,km3,0
