scenario,subRegion,param,class,x,units,value
Policy,Corfo,total_ag_supply,AgSupply,2010,land (km^2),1400
Policy,LaPampa_baja,total_ag_supply,AgSupply,2010,land (km^2),430.35888
Policy,LaPampa_media,total_ag_supply,AgSupply,2010,land (km^2),78
Policy,Mendoza_alta_barrancas,total_ag_supply,AgSupply,2010,land (km^2),0.02
Policy,Mendoza_alta_riogrande,total_ag_supply,AgSupply,2010,land (km^2),0
Policy,Mendoza_media,total_ag_supply,AgSupply,2010,land (km^2),0
Policy,Neuquen_alta_barrancas,total_ag_supply,AgSupply,2010,land (km^2),0.68
Policy,Neuquen_media,total_ag_supply,AgSupply,2010,land (km^2),6.5
Policy,RioNegro_baja,total_ag_supply,AgSupply,2010,land (km^2),102.393
Policy,RioNegro_media,total_ag_supply,AgSupply,2010,land (km^2),25.6
