scenario,subRegion,param,class,x,units,value
Policy,Corfo,total_elec_supply,ElecSupply,2010,GWh,0
Policy,LaPampa_baja,total_elec_supply,ElecSupply,2010,GWh,0.981792
Policy,LaPampa_media,total_elec_supply,ElecSupply,2010,GWh,157.78705
Policy,Mendoza_alta_barrancas,total_elec_supply,ElecSupply,2010,GWh,0
Policy,Mendoza_alta_riogrande,total_elec_supply,ElecSupply,2010,GWh,2.075788799
Policy,Mendoza_media,total_elec_supply,ElecSupply,2010,GWh,0
Policy,Neuquen_alta_barrancas,total_elec_supply,ElecSupply,2010,GWh,0
Policy,Neuquen_media,total_elec_supply,ElecSupply,2010,GWh,700.508592
Policy,RioNegro_baja,total_elec_supply,ElecSupply,2010,GWh,0
Policy,RioNegro_media,total_elec_supply,ElecSupply,2010,GWh,157.788
