scenario,subRegion,param,class,x,units,value
Reference,Corfo,total_elec_supply,ElecSupply,2010,GWh,0
Reference,LaPampa_baja,total_elec_supply,ElecSupply,2010,GWh,0.981792
Reference,LaPampa_media,total_elec_supply,ElecSupply,2010,GWh,157.78705
Reference,Mendoza_alta_barrancas,total_elec_supply,ElecSupply,2010,GWh,0
Reference,Mendoza_alta_riogrande,total_elec_supply,ElecSupply,2010,GWh,2.075788799
Reference,Mendoza_media,total_elec_supply,ElecSupply,2010,GWh,0
Reference,Neuquen_alta_barrancas,total_elec_supply,ElecSupply,2010,GWh,0
Reference,Neuquen_media,total_elec_supply,ElecSupply,2010,GWh,700.508592
Reference,RioNegro_baja,total_elec_supply,ElecSupply,2010,GWh,0
Reference,RioNegro_media,total_elec_supply,ElecSupply,2010,GWh,157.788
