scenario,subRegion,param,class,x,units,value
Policy,Corfo,total_water_demand,WaterDemand,2010,km3,1.907484527
Policy,LaPampa_baja,total_water_demand,WaterDemand,2010,km3,0.648468469
Policy,LaPampa_media,total_water_demand,WaterDemand,2010,km3,0.23466
Policy,Mendoza_alta_barrancas,total_water_demand,WaterDemand,2010,km3,0.001
Policy,Mendoza_alta_riogrande,total_water_demand,WaterDemand,2010,km3,3.14e-07
Policy,Mendoza_media,total_water_demand,WaterDemand,2010,km3,0.0012
Policy,Neuquen_alta_barrancas,total_water_demand,WaterDemand,2010,km3,0.00896
Policy,Neuquen_media,total_water_demand,WaterDemand,2010,km3,0.0686861
Policy,RioNegro_baja,total_water_demand,WaterDemand,2010,km3,0.497100425
Policy,RioNegro_media,total_water_demand,WaterDemand,2010,km3,0.18127
