sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Upstream,Water,Policy,0,Argentina,Corfo,km3,param,1.8999
Ag,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,1.8999
cap,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400
cap,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,95.92361
cap,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979
cap,W_SW_Upstream,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
cap,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400
capNew,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,95.92361
capNew,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979
capOrig,W_SW_Upstream,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
capOrig,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
commercial,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,20.123545
commercial,Electricity_Import,Electricity,Policy,0,Argentina,Corfo,GWh,param,20.123545
downstream,W_SW_Upstream,Water,Policy,0,Argentina,Corfo,km3,param,1.291570165
downstream,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,1.291570165
export,Ag_cereals,Agriculture,Policy,0,Argentina,Corfo,km2,param,490
export,Ag_pasture,Agriculture,Policy,0,Argentina,Corfo,km2,param,742
export,Ag_vegetables,Agriculture,Policy,0,Argentina,Corfo,km2,param,168
export,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400
export,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979
export,Livestock_bulls,Livestock,Policy,0,Argentina,Corfo,head,param,5408
export,Livestock_calves,Livestock,Policy,0,Argentina,Corfo,head,param,45924
export,Livestock_cows,Livestock,Policy,0,Argentina,Corfo,head,param,127040
export,Livestock_heifers,Livestock,Policy,0,Argentina,Corfo,head,param,37136
export,Livestock_steers,Livestock,Policy,0,Argentina,Corfo,head,param,47471
industrial,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,8.886225
industrial,Electricity_Import,Electricity,Policy,0,Argentina,Corfo,GWh,param,8.886225
Livestock,W_SW_Upstream,Water,Policy,0,Argentina,Corfo,km3,param,0.005064527
Livestock,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,0.005064527
municipal,W_SW_Upstream,Water,Policy,0,Argentina,Corfo,km3,param,0.00252
municipal,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,0.00252
other,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,25.390125
other,Electricity_Import,Electricity,Policy,0,Argentina,Corfo,GWh,param,25.390125
residential,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,41.523715
residential,Electricity_Import,Electricity,Policy,0,Argentina,Corfo,GWh,param,41.523715
total,Ag_cereals,Agriculture,Policy,0,Argentina,Corfo,km2,param,490
total,Ag_pasture,Agriculture,Policy,0,Argentina,Corfo,km2,param,742
total,Ag_vegetables,Agriculture,Policy,0,Argentina,Corfo,km2,param,168
total,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400
total,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,95.92361
total,Electricity_Import,Electricity,Policy,0,Argentina,Corfo,GWh,param,95.92361
total,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979
total,Livestock_bulls,Livestock,Policy,0,Argentina,Corfo,head,param,5408
total,Livestock_calves,Livestock,Policy,0,Argentina,Corfo,head,param,45924
total,Livestock_cows,Livestock,Policy,0,Argentina,Corfo,head,param,127040
total,Livestock_heifers,Livestock,Policy,0,Argentina,Corfo,head,param,37136
total,Livestock_steers,Livestock,Policy,0,Argentina,Corfo,head,param,47471
total,W_SW_Upstream,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
total,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
