sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,1.8999
cap,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400
cap,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,95.92361
cap,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979
cap,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400
capNew,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,95.92361
capNew,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979
capOrig,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
commercial,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,20.123545
downstream,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,1.291570165
export,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400
export,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979
industrial,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,8.886225
Livestock,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,0.005064527
municipal,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,0.00252
other,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,25.390125
residential,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,41.523715
total,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400
total,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,95.92361
total,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979
total,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,3.199054692
