sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,1.8999,0.593894191540755,Water_all 3.2 km3,Water_all km3
commercial,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,20.123545,0.209787194205889,Electricity_all 95.9 GWh,Electricity_all GWh
downstream,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,1.291570165,0.40373494339746,Water_all 3.2 km3,Water_all km3
export,Agriculture_all,Agriculture,Policy,0,Argentina,Corfo,km2,param,1400,1,Agriculture_all 1400 km2,Agriculture_all km2
export,Livestock_all,Livestock,Policy,0,Argentina,Corfo,head,param,262979,1,Livestock_all 262979 head,Livestock_all head
industrial,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,8.886225,0.0926385589533171,Electricity_all 95.9 GWh,Electricity_all GWh
Livestock,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,0.005064527,0.00158313235865115,Water_all 3.2 km3,Water_all km3
municipal,Water_all,Water,Policy,0,Argentina,Corfo,km3,param,0.00252,0.000787732703133167,Water_all 3.2 km3,Water_all km3
other,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,25.390125,0.264691091171402,Electricity_all 95.9 GWh,Electricity_all GWh
residential,Electricity_all,Electricity,Policy,0,Argentina,Corfo,GWh,param,41.523715,0.432883155669392,Electricity_all 95.9 GWh,Electricity_all GWh
