sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.64553832
cap,Agriculture_all,Agriculture,Policy,0,Argentina,LaPampa_baja,km2,param,430.35888
cap,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,10.525389
cap,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,2.172311793
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,LaPampa_baja,km2,param,430.35888
capNew,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,10.385389
capOrig,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,0.140000000000001
capOrig,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,2.172311793
commercial,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,1.587401
downstream,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,1.523843324
Electricity,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,1.49e-07
export,Agriculture_all,Agriculture,Policy,0,Argentina,LaPampa_baja,km2,param,430.35888
export,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.0021
industrial,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,0.118812
municipal,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.00083
other,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,4.754263
residential,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,4.064913
total,Agriculture_all,Agriculture,Policy,0,Argentina,LaPampa_baja,km2,param,430.35888
total,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,10.525389
total,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,2.172311793
