sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.64553832,0.297166512689461,Water_all 2.2 km3,Water_all km3
commercial,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,1.587401,0.150816373627616,Electricity_all 10.5 GWh,Electricity_all GWh
downstream,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,1.523843324,0.701484625232157,Water_all 2.2 km3,Water_all km3
Electricity,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,1.49e-07,6.85905220788902e-08,Water_all 2.2 km3,Water_all km3
export,Agriculture_all,Agriculture,Policy,0,Argentina,LaPampa_baja,km2,param,430.35888,1,Agriculture_all 430.4 km2,Agriculture_all km2
export,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.0021,0.000966712056145432,Water_all 2.2 km3,Water_all km3
industrial,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,0.118812,0.011288133863746,Electricity_all 10.5 GWh,Electricity_all GWh
municipal,Water_all,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.00083,0.000382081431714623,Water_all 2.2 km3,Water_all km3
other,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,4.754263,0.451694754464657,Electricity_all 10.5 GWh,Electricity_all GWh
residential,Electricity_all,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,4.064913,0.386200738043981,Electricity_all 10.5 GWh,Electricity_all GWh
