sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,W_SW_Upstream,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.64553832,0.297166512689461,W_SW_Upstream 2.2 km3,W_SW_Upstream km3
commercial,Electricity_Import,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,1.439330691,0.136748455662779,Electricity_Import 9.5 GWh,Electricity_Import GWh
commercial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,0.148070309,0.0140679179648372,Electricity_RefLiqDiesel 0.98 GWh,Electricity_RefLiqDiesel GWh
downstream,W_SW_Upstream,Water,Policy,0,Argentina,LaPampa_baja,km3,param,1.523843324,0.701484625232157,W_SW_Upstream 2.2 km3,W_SW_Upstream km3
Electricity,W_SW_Upstream,Water,Policy,0,Argentina,LaPampa_baja,km3,param,1.49e-07,6.85905220788902e-08,W_SW_Upstream 2.2 km3,W_SW_Upstream km3
export,Ag_pasture,Agriculture,Policy,0,Argentina,LaPampa_baja,km2,param,306.11837,0.711309523809524,Ag_pasture 306.1 km2,Ag_pasture km2
export,Ag_specialty,Agriculture,Policy,0,Argentina,LaPampa_baja,km2,param,64.0415,0.148809523809524,Ag_specialty 64 km2,Ag_specialty km2
export,Ag_vegetables,Agriculture,Policy,0,Argentina,LaPampa_baja,km2,param,60.19901,0.139880952380952,Ag_vegetables 60.2 km2,Ag_vegetables km2
export,W_SW_Upstream,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.0021,0.000966712056145432,W_SW_Upstream 2.2 km3,W_SW_Upstream km3
industrial,Electricity_Import,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,0.1077294,0.0102351941576696,Electricity_Import 9.5 GWh,Electricity_Import GWh
industrial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,0.0110826,0.00105293970607642,Electricity_RefLiqDiesel 0.98 GWh,Electricity_RefLiqDiesel GWh
municipal,W_SW_Upstream,Water,Policy,0,Argentina,LaPampa_baja,km3,param,0.00083,0.000382081431714623,W_SW_Upstream 2.2 km3,W_SW_Upstream km3
other,Electricity_Import,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,4.310792704,0.409561366710532,Electricity_Import 9.5 GWh,Electricity_Import GWh
other,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,0.443470296,0.0421333877541248,Electricity_RefLiqDiesel 0.98 GWh,Electricity_RefLiqDiesel GWh
residential,Electricity_Import,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,3.685744205,0.350176530767651,Electricity_Import 9.5 GWh,Electricity_Import GWh
residential,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,LaPampa_baja,GWh,param,0.379168795,0.0360242072763296,Electricity_RefLiqDiesel 0.98 GWh,Electricity_RefLiqDiesel GWh
