sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_cereals,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,export,28.5,export
Ag_cereals,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,total,28.5,total
Ag_fruittrees,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,export,31.1,export
Ag_fruittrees,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,total,31.1,total
Ag_pasture,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,export,13.2,export
Ag_pasture,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,total,13.2,total
Ag_specialty,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,export,5.2,export
Ag_specialty,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,total,5.2,total
Agriculture_all,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,export,78,export
Agriculture_all,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,total,78,total
Agriculture_all,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,cap,78,cap
Agriculture_all,Agriculture,Policy,0,km2,Argentina,LaPampa_media,param,capNew,78,capNew
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,commercial,3.19665,commercial
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,industrial,6.567185,industrial
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,other,4.568789,other
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,residential,9.236426,residential
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,export,134.218,export
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,total,157.78705,total
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,cap,157.78705,cap
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,capNew,97.78705,capNew
Electricity_all,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,capOrig,60,capOrig
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,commercial,3.19665,commercial
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,industrial,6.567185,industrial
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,other,4.568789,other
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,residential,9.236426,residential
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,export,134.218,export
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,total,157.78705,total
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,cap,157.78705,cap
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,capNew,97.78705,capNew
Electricity_Hydro,Electricity,Policy,0,GWh,Argentina,LaPampa_media,param,capOrig,60,capOrig
W_SW_Reservoir,Water,Policy,0,km3,Argentina,LaPampa_media,param,Ag_cereals,0.137722685165593,Ag
W_SW_Reservoir,Water,Policy,0,km3,Argentina,LaPampa_media,param,Ag_pasture,0.0347508461914602,Ag
W_SW_Reservoir,Water,Policy,0,km3,Argentina,LaPampa_media,param,Ag_fruittrees,0.0518560103249489,Ag
W_SW_Reservoir,Water,Policy,0,km3,Argentina,LaPampa_media,param,Ag_specialty,0.00867045831799788,Ag
W_SW_Reservoir,Water,Policy,0,km3,Argentina,LaPampa_media,param,total,0.233,total
W_SW_Reservoir,Water,Policy,0,km3,Argentina,LaPampa_media,param,cap,2.6,cap
W_SW_Reservoir,Water,Policy,0,km3,Argentina,LaPampa_media,param,capOrig,2.6,capOrig
W_SW_Reservoir,Water,Policy,0,km3,Argentina,LaPampa_media,param,surplus,2.367,surplus
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_media,param,municipal,0.00166,municipal
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_media,param,downstream,2.262116793,downstream
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_media,param,total,2.263776793,total
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_media,param,cap,2.263776793,cap
W_SW_Upstream,Water,Policy,0,km3,Argentina,LaPampa_media,param,capOrig,2.263776793,capOrig
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,Ag_cereals,0.137722685165593,Ag
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,Ag_pasture,0.0347508461914602,Ag
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,Ag_fruittrees,0.0518560103249489,Ag
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,Ag_specialty,0.00867045831799788,Ag
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,municipal,0.00166,municipal
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,downstream,2.262116793,downstream
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,total,2.496776793,total
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,cap,4.863776793,cap
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,capOrig,4.863776793,capOrig
Water_all,Water,Policy,0,km3,Argentina,LaPampa_media,param,surplus,2.367,surplus
