sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
cap,Electricity_all,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,65.37818501
cap,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,2.075788799
cap,W_SW_Runoff,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.5029
cap,Water_all,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.5029
capNew,Electricity_all,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,65.08218501
capNew,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,1.779788799
capOrig,Electricity_all,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.296000000000007
capOrig,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.296
capOrig,W_SW_Runoff,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.5029
capOrig,Water_all,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.5029
commercial,Electricity_all,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,6.808592
commercial,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,6.592415931
commercial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.216176069
downstream,W_SW_Runoff,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.502899686
downstream,Water_all,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.502899686
Electricity,W_SW_Runoff,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.14e-07
Electricity,Water_all,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.14e-07
industrial,Electricity_all,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,23.004598004
industrial,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,22.27419096
industrial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.730407044
other,Electricity_all,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,11.736356004
other,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,11.36372106
other,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.372634944
residential,Electricity_all,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,23.828639002
residential,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,23.07206826
residential,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.756570742
total,Electricity_all,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,65.37818501
total,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,63.302396211
total,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,2.075788799
total,W_SW_Runoff,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.5029
total,Water_all,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.5029
