sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
commercial,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,6.592415931,0.10083510164731,Electricity_Import 63.3 GWh,Electricity_Import GWh
commercial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.216176069,0.00330654742047266,Electricity_RefLiqDiesel 2.1 GWh,Electricity_RefLiqDiesel GWh
downstream,W_SW_Runoff,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.502899686,0.999999910359987,W_SW_Runoff 3.5 km3,W_SW_Runoff km3
Electricity,W_SW_Runoff,Water,Policy,0,Argentina,Mendoza_alta_riogrande,km3,param,3.14e-07,8.96400125610209e-08,W_SW_Runoff 3.5 km3,W_SW_Runoff km3
industrial,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,22.27419096,0.340697603590449,Electricity_Import 63.3 GWh,Electricity_Import GWh
industrial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.730407044,0.011172029995759,Electricity_RefLiqDiesel 2.1 GWh,Electricity_RefLiqDiesel GWh
other,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,11.36372106,0.173815180985245,Electricity_Import 63.3 GWh,Electricity_Import GWh
other,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.372634944,0.00569968321915029,Electricity_RefLiqDiesel 2.1 GWh,Electricity_RefLiqDiesel GWh
residential,Electricity_Import,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,23.07206826,0.352901633113109,Electricity_Import 63.3 GWh,Electricity_Import GWh
residential,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Mendoza_alta_riogrande,GWh,param,0.756570742,0.0115722200285046,Electricity_RefLiqDiesel 2.1 GWh,Electricity_RefLiqDiesel GWh
