sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_forest,Agriculture,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param,export,0.15,export
Ag_forest,Agriculture,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param,total,0.15,total
Ag_pasture,Agriculture,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param,export,0.53,export
Ag_pasture,Agriculture,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param,total,0.53,total
Agriculture_all,Agriculture,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param,export,0.68,export
Agriculture_all,Agriculture,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param,total,0.68,total
Agriculture_all,Agriculture,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param,cap,0.68,cap
Agriculture_all,Agriculture,Policy,0,km2,Argentina,Neuquen_alta_barrancas,param,capNew,0.68,capNew
Electricity_all,Electricity,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param,other,5.477967,other
Electricity_all,Electricity,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param,residential,7.46025,residential
Electricity_all,Electricity,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param,total,12.938217,total
Electricity_all,Electricity,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param,cap,12.938217,cap
Electricity_all,Electricity,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param,capNew,12.938217,capNew
Electricity_Import,Electricity,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param,other,5.477967,other
Electricity_Import,Electricity,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param,residential,7.46025,residential
Electricity_Import,Electricity,Policy,0,GWh,Argentina,Neuquen_alta_barrancas,param,total,12.938217,total
W_SW_Runoff,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,Ag_pasture,0.0087,Ag
W_SW_Runoff,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,municipal,0.00026,municipal
W_SW_Runoff,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,downstream,0.819415,downstream
W_SW_Runoff,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,total,0.828375,total
W_SW_Runoff,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,cap,0.828375,cap
W_SW_Runoff,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,capOrig,0.828375,capOrig
Water_all,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,Ag_pasture,0.0087,Ag
Water_all,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,municipal,0.00026,municipal
Water_all,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,downstream,0.819415,downstream
Water_all,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,total,0.828375,total
Water_all,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,cap,0.828375,cap
Water_all,Water,Policy,0,km3,Argentina,Neuquen_alta_barrancas,param,capOrig,0.828375,capOrig
