sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Policy,0,Argentina,Neuquen_alta_barrancas,km3,param,0.0087
cap,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68
cap,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_alta_barrancas,GWh,param,12.938217
cap,Water_all,Water,Policy,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68
capNew,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_alta_barrancas,GWh,param,12.938217
capOrig,Water_all,Water,Policy,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
downstream,Water_all,Water,Policy,0,Argentina,Neuquen_alta_barrancas,km3,param,0.819415
export,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68
municipal,Water_all,Water,Policy,0,Argentina,Neuquen_alta_barrancas,km3,param,0.00026
other,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_alta_barrancas,GWh,param,5.477967
residential,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_alta_barrancas,GWh,param,7.46025
total,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68
total,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_alta_barrancas,GWh,param,12.938217
total,Water_all,Water,Policy,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
