sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Upstream,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.0656000000000001
Ag,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.0656000000000001
cap,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.5
cap,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,700.508592
cap,Electricity_Gas,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,476.34584256
cap,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,224.16274944
cap,W_SW_Upstream,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
cap,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.5
capNew,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,600.618592
capNew,Electricity_Gas,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,408.84584256
capNew,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,191.77274944
capOrig,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,99.89
capOrig,Electricity_Gas,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,67.5
capOrig,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,32.39
capOrig,W_SW_Upstream,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
capOrig,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
downstream,W_SW_Upstream,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.230033743
downstream,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.230033743
Electricity,W_SW_Upstream,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.0001061
Electricity,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.0001061
export,Ag_cereals,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,0.2
export,Ag_fruittrees,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,0.06
export,Ag_pasture,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.22
export,Ag_vegetables,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,0.02
export,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.5
export,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,4.216127
export,Electricity_Gas,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,2.86696636
export,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,1.34916064
industrial,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,533.7402
industrial,Electricity_Gas,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,362.943336
industrial,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,170.796864
municipal,W_SW_Upstream,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.00298
municipal,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.00298
other,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,105.082112
other,Electricity_Gas,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,71.45583616
other,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,33.62627584
residential,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,57.470153
residential,Electricity_Gas,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,39.07970404
residential,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,18.39044896
surplus,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,-2.8421709430404e-14
total,Ag_cereals,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,0.2
total,Ag_fruittrees,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,0.06
total,Ag_pasture,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.22
total,Ag_vegetables,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,0.02
total,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.5
total,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,700.508592
total,Electricity_Gas,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,476.34584256
total,Electricity_RefLiqDiesel,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,224.16274944
total,W_SW_Upstream,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
total,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
