sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.0656000000000001
cap,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.5
cap,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,700.508592
cap,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.5
capNew,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,600.618592
capOrig,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,99.89
capOrig,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
downstream,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.230033743
Electricity,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.0001061
export,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.5
export,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,4.216127
industrial,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,533.7402
municipal,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,0.00298
other,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,105.082112
residential,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,57.470153
total,Agriculture_all,Agriculture,Policy,0,Argentina,Neuquen_media,km2,param,6.5
total,Electricity_all,Electricity,Policy,0,Argentina,Neuquen_media,GWh,param,700.508592
total,Water_all,Water,Policy,0,Argentina,Neuquen_media,km3,param,2.298719843
