sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_cereals,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,export,36.42475,export
Ag_cereals,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,total,36.42475,total
Ag_fruittrees,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,export,34.6815,export
Ag_fruittrees,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,total,34.6815,total
Ag_pasture,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,export,20.09325,export
Ag_pasture,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,total,20.09325,total
Ag_vegetables,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,export,11.1935,export
Ag_vegetables,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,total,11.1935,total
Agriculture_all,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,export,102.393,export
Agriculture_all,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,total,102.393,total
Agriculture_all,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,cap,102.393,cap
Agriculture_all,Agriculture,Policy,0,km2,Argentina,RioNegro_baja,param,capNew,102.393,capNew
Electricity_all,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,commercial,20.835906,commercial
Electricity_all,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,industrial,24.013419,industrial
Electricity_all,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,other,24.52153,other
Electricity_all,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,residential,36.956574,residential
Electricity_all,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,total,106.327429,total
Electricity_all,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,cap,106.327429,cap
Electricity_all,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,capNew,106.327429,capNew
Electricity_Import,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,commercial,20.835906,commercial
Electricity_Import,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,industrial,24.013419,industrial
Electricity_Import,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,other,24.52153,other
Electricity_Import,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,residential,36.956574,residential
Electricity_Import,Electricity,Policy,0,GWh,Argentina,RioNegro_baja,param,total,106.327429,total
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,Ag_cereals,0.285287136030541,Ag
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,Ag_pasture,0.0857366734003935,Ag
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,Ag_vegetables,0.0302502941988521,Ag
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,Ag_fruittrees,0.0937263213702139,Ag
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,municipal,0.0021,municipal
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,downstream,1.675211368,downstream
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,total,2.172311793,total
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,cap,2.172311793,cap
W_SW_Upstream,Water,Policy,0,km3,Argentina,RioNegro_baja,param,capOrig,2.172311793,capOrig
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,Ag_cereals,0.285287136030541,Ag
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,Ag_pasture,0.0857366734003935,Ag
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,Ag_vegetables,0.0302502941988521,Ag
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,Ag_fruittrees,0.0937263213702139,Ag
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,municipal,0.0021,municipal
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,downstream,1.675211368,downstream
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,total,2.172311793,total
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,cap,2.172311793,cap
Water_all,Water,Policy,0,km3,Argentina,RioNegro_baja,param,capOrig,2.172311793,capOrig
