sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Upstream,Water,Policy,0,Argentina,RioNegro_baja,km3,param,0.495000425000001
Ag,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,0.495000425000001
cap,Agriculture_all,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,102.393
cap,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,106.327429
cap,W_SW_Upstream,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
cap,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
capNew,Agriculture_all,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,102.393
capNew,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,106.327429
capOrig,W_SW_Upstream,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
capOrig,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
commercial,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,20.835906
commercial,Electricity_Import,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,20.835906
downstream,W_SW_Upstream,Water,Policy,0,Argentina,RioNegro_baja,km3,param,1.675211368
downstream,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,1.675211368
export,Ag_cereals,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,36.42475
export,Ag_fruittrees,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,34.6815
export,Ag_pasture,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,20.09325
export,Ag_vegetables,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,11.1935
export,Agriculture_all,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,102.393
industrial,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,24.013419
industrial,Electricity_Import,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,24.013419
municipal,W_SW_Upstream,Water,Policy,0,Argentina,RioNegro_baja,km3,param,0.0021
municipal,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,0.0021
other,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,24.52153
other,Electricity_Import,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,24.52153
residential,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,36.956574
residential,Electricity_Import,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,36.956574
total,Ag_cereals,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,36.42475
total,Ag_fruittrees,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,34.6815
total,Ag_pasture,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,20.09325
total,Ag_vegetables,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,11.1935
total,Agriculture_all,Agriculture,Policy,0,Argentina,RioNegro_baja,km2,param,102.393
total,Electricity_all,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,106.327429
total,Electricity_Import,Electricity,Policy,0,Argentina,RioNegro_baja,GWh,param,106.327429
total,W_SW_Upstream,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
total,Water_all,Water,Policy,0,Argentina,RioNegro_baja,km3,param,2.172311793
