sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Upstream,Water,Reference,0,Argentina,Corfo,km3,param,1.899899999
Ag,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,1.899899999
cap,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400
cap,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,95.92361
cap,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979
cap,W_SW_Upstream,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
cap,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400
capNew,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,95.92361
capNew,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979
capOrig,W_SW_Upstream,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
capOrig,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
commercial,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,20.123545
commercial,Electricity_Import,Electricity,Reference,0,Argentina,Corfo,GWh,param,20.123545
downstream,W_SW_Upstream,Water,Reference,0,Argentina,Corfo,km3,param,2.157313942
downstream,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,2.157313942
export,Ag_cereals,Agriculture,Reference,0,Argentina,Corfo,km2,param,490
export,Ag_pasture,Agriculture,Reference,0,Argentina,Corfo,km2,param,742
export,Ag_vegetables,Agriculture,Reference,0,Argentina,Corfo,km2,param,168
export,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400
export,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979
export,Livestock_bulls,Livestock,Reference,0,Argentina,Corfo,head,param,5408
export,Livestock_calves,Livestock,Reference,0,Argentina,Corfo,head,param,45924
export,Livestock_cows,Livestock,Reference,0,Argentina,Corfo,head,param,127040
export,Livestock_heifers,Livestock,Reference,0,Argentina,Corfo,head,param,37136
export,Livestock_steers,Livestock,Reference,0,Argentina,Corfo,head,param,47471
industrial,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,8.886225
industrial,Electricity_Import,Electricity,Reference,0,Argentina,Corfo,GWh,param,8.886225
Livestock,W_SW_Upstream,Water,Reference,0,Argentina,Corfo,km3,param,0.005064497
Livestock,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,0.005064497
municipal,W_SW_Upstream,Water,Reference,0,Argentina,Corfo,km3,param,0.00252
municipal,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,0.00252
other,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,25.390125
other,Electricity_Import,Electricity,Reference,0,Argentina,Corfo,GWh,param,25.390125
residential,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,41.523715
residential,Electricity_Import,Electricity,Reference,0,Argentina,Corfo,GWh,param,41.523715
total,Ag_cereals,Agriculture,Reference,0,Argentina,Corfo,km2,param,490
total,Ag_pasture,Agriculture,Reference,0,Argentina,Corfo,km2,param,742
total,Ag_vegetables,Agriculture,Reference,0,Argentina,Corfo,km2,param,168
total,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400
total,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,95.92361
total,Electricity_Import,Electricity,Reference,0,Argentina,Corfo,GWh,param,95.92361
total,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979
total,Livestock_bulls,Livestock,Reference,0,Argentina,Corfo,head,param,5408
total,Livestock_calves,Livestock,Reference,0,Argentina,Corfo,head,param,45924
total,Livestock_cows,Livestock,Reference,0,Argentina,Corfo,head,param,127040
total,Livestock_heifers,Livestock,Reference,0,Argentina,Corfo,head,param,37136
total,Livestock_steers,Livestock,Reference,0,Argentina,Corfo,head,param,47471
total,W_SW_Upstream,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
total,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
