sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,1.899899999
cap,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400
cap,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,95.92361
cap,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979
cap,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400
capNew,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,95.92361
capNew,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979
capOrig,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
commercial,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,20.123545
downstream,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,2.157313942
export,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400
export,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979
industrial,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,8.886225
Livestock,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,0.005064497
municipal,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,0.00252
other,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,25.390125
residential,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,41.523715
total,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400
total,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,95.92361
total,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979
total,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,4.064798438
