sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,1.899899999,0.467403249627011,Water_all 4.1 km3,Water_all km3
commercial,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,20.123545,0.209787194205889,Electricity_all 95.9 GWh,Electricity_all GWh
downstream,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,2.157313942,0.530730852932885,Water_all 4.1 km3,Water_all km3
export,Agriculture_all,Agriculture,Reference,0,Argentina,Corfo,km2,param,1400,1,Agriculture_all 1400 km2,Agriculture_all km2
export,Livestock_all,Livestock,Reference,0,Argentina,Corfo,head,param,262979,1,Livestock_all 262979 head,Livestock_all head
industrial,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,8.886225,0.0926385589533171,Electricity_all 95.9 GWh,Electricity_all GWh
Livestock,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,0.005064497,0.00124594050043275,Water_all 4.1 km3,Water_all km3
municipal,Water_all,Water,Reference,0,Argentina,Corfo,km3,param,0.00252,0.000619956939670523,Water_all 4.1 km3,Water_all km3
other,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,25.390125,0.264691091171402,Electricity_all 95.9 GWh,Electricity_all GWh
residential,Electricity_all,Electricity,Reference,0,Argentina,Corfo,GWh,param,41.523715,0.432883155669392,Electricity_all 95.9 GWh,Electricity_all GWh
