sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_pasture,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,export,2.39,export
Ag_pasture,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,total,2.39,total
Ag_specialty,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,export,0.5,export
Ag_specialty,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,total,0.5,total
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,export,0.47,export
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,total,0.47,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,export,3.36,export
Agriculture_all,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,total,3.36,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,cap,3.36,cap
Agriculture_all,Agriculture,Reference,0,km2,Argentina,LaPampa_baja,param,capNew,3.36,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,commercial,1.587401,commercial
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,industrial,0.118812,industrial
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,other,4.754263,other
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,residential,4.064913,residential
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,total,10.525389,total
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,cap,10.525389,cap
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,capNew,10.385389,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,capOrig,0.140000000000001,capOrig
Electricity_Import,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,commercial,1.439330691,commercial
Electricity_Import,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,industrial,0.1077294,industrial
Electricity_Import,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,other,4.310792704,other
Electricity_Import,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,residential,3.685744205,residential
Electricity_Import,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,total,9.543597,total
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,commercial,0.148070309,commercial
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,industrial,0.0110826,industrial
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,other,0.443470296,other
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,residential,0.379168795,residential
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,total,0.981792,total
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,cap,0.981792,cap
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,capNew,0.841792,capNew
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,LaPampa_baja,param,capOrig,0.14,capOrig
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,Ag_pasture,0.00400938,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,Ag_vegetables,0.000499372,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,Ag_specialty,0.000531247,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,Electricity_RefLiqDiesel,1.49e-07,Electricity
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,municipal,0.00083,municipal
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,downstream,2.164341645,downstream
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,export,0.0021,export
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,total,2.172311793,total
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,cap,2.172311793,cap
W_SW_Upstream,Water,Reference,0,km3,Argentina,LaPampa_baja,param,capOrig,2.172311793,capOrig
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,Ag_pasture,0.00400938,Ag
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,Ag_vegetables,0.000499372,Ag
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,Ag_specialty,0.000531247,Ag
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,Electricity_RefLiqDiesel,1.49e-07,Electricity
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,municipal,0.00083,municipal
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,downstream,2.164341645,downstream
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,export,0.0021,export
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,total,2.172311793,total
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,cap,2.172311793,cap
Water_all,Water,Reference,0,km3,Argentina,LaPampa_baja,param,capOrig,2.172311793,capOrig
