sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.005039999
Ag,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.005039999
cap,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36
cap,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,10.525389
cap,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.981792
cap,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
cap,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36
capNew,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,10.385389
capNew,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.841792
capOrig,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.140000000000001
capOrig,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.14
capOrig,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
capOrig,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
commercial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,1.587401
commercial,Electricity_Import,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,1.439330691
commercial,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.148070309
downstream,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.164341645
downstream,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.164341645
Electricity,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_baja,km3,param,1.49e-07
Electricity,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,1.49e-07
export,Ag_pasture,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,2.39
export,Ag_specialty,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,0.5
export,Ag_vegetables,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,0.47
export,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36
export,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.0021
export,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.0021
industrial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.118812
industrial,Electricity_Import,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.1077294
industrial,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.0110826
municipal,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.00083
municipal,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.00083
other,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,4.754263
other,Electricity_Import,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,4.310792704
other,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.443470296
residential,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,4.064913
residential,Electricity_Import,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,3.685744205
residential,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.379168795
total,Ag_pasture,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,2.39
total,Ag_specialty,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,0.5
total,Ag_vegetables,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,0.47
total,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36
total,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,10.525389
total,Electricity_Import,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,9.543597
total,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.981792
total,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
total,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
