sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.005039999
cap,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36
cap,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,10.525389
cap,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36
capNew,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,10.385389
capOrig,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.140000000000001
capOrig,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
commercial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,1.587401
downstream,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.164341645
Electricity,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,1.49e-07
export,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36
export,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.0021
industrial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.118812
municipal,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.00083
other,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,4.754263
residential,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,4.064913
total,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36
total,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,10.525389
total,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.172311793
