sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.005039999,0.00232010847440996,Water_all 2.2 km3,Water_all km3
commercial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,1.587401,0.150816373627616,Electricity_all 10.5 GWh,Electricity_all GWh
downstream,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,2.164341645,0.996331029447208,Water_all 2.2 km3,Water_all km3
Electricity,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,1.49e-07,6.85905220788902e-08,Water_all 2.2 km3,Water_all km3
export,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_baja,km2,param,3.36,1,Agriculture_all 3.4 km2,Agriculture_all km2
export,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.0021,0.000966712056145432,Water_all 2.2 km3,Water_all km3
industrial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,0.118812,0.011288133863746,Electricity_all 10.5 GWh,Electricity_all GWh
municipal,Water_all,Water,Reference,0,Argentina,LaPampa_baja,km3,param,0.00083,0.000382081431714623,Water_all 2.2 km3,Water_all km3
other,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,4.754263,0.451694754464657,Electricity_all 10.5 GWh,Electricity_all GWh
residential,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_baja,GWh,param,4.064913,0.386200738043981,Electricity_all 10.5 GWh,Electricity_all GWh
